"NAME OF THE"
"NAME OF THE                                            NAME OF THE PRIMARY"
"S. NO                        HEALTH UNIT    NAME OF THE BLOCK"
"REVENUE DISTRICT                                           HEALTH CENTRE"
"DISTRICT"
"119    THANJAVUR          THANJAVUR        KUMBAKONAM             SHOLAPURAM"
"120    THANJAVUR          THANJAVUR        KUMBAKONAM             PATTEESWARAM"
"121    THANJAVUR          THANJAVUR        KUMBAKONAM             SUNDARAPERUMALKOIL"
"122    THANJAVUR          THANJAVUR        KUMBAKONAM             SWAMIMALAI"
"123    THANJAVUR          THANJAVUR        KUMBAKONAM             KOTHANGUDI"
"124    THANJAVUR          THANJAVUR        THIRUPANANDAL          KONULAMPALLAM"
"125    THANJAVUR          THANJAVUR        THIRUPANANDAL          KEELAKATTUR"
"126    THANJAVUR          THANJAVUR        THIRUPANANDAL          THUGILI"
"127    THANJAVUR          THANJAVUR        THIRUVIDAIMARUDHUR     THIRUNAGESWARAM"
"128    THANJAVUR          THANJAVUR        THIRUVIDAIMARUDHUR     MURUKKANGUDI"
"129    THANJAVUR          THANJAVUR        THIRUVIDAIMARUDHUR     VEPATHUR"
"130    THANJAVUR          THANJAVUR        AMMAPETTAI             SALIAMANGALAM"
"                              NAME OF THE"
"NAME OF THE                                             NAME OF THE PRIMARY"
"S. NO                         HEALTH UNIT    NAME OF THE BLOCK"
"REVENUE DISTRICT                                            HEALTH CENTRE"
"DISTRICT"
"131    THANJAVUR          THANJAVUR        AMMAPETTAI           MELATTUR"
"132    THANJAVUR          THANJAVUR        AMMAPETTAI           AMMAPETTAI"
"133    THANJAVUR          THANJAVUR        AMMAPETTAI           POONDI"
"134    THANJAVUR          THANJAVUR        ORATHANADU           VADASERI"
"135    THANJAVUR          THANJAVUR        ORATHANADU           THONDARAMPATTU"
"136    THANJAVUR          THANJAVUR        ORATHANADU           PAPPANADU"
"137    THANJAVUR          THANJAVUR        ORATHANADU           THELUNGANKUDIKADU"
"138    THANJAVUR          THANJAVUR        ORATHANADU           VADAKKUR"
"139    THANJAVUR          THANJAVUR        ORATHANADU           VANDAIYARIRUPPU"
"140    THANJAVUR          THANJAVUR        ORATHANADU           NORTHEVANKUDIKADU"
"141    THANJAVUR          THANJAVUR        MADUKKUR             PERIYAKOTTAI"
"142    THANJAVUR          THANJAVUR        MADUKKUR             ATHIVETTI"
"143    THANJAVUR          THANJAVUR        MADUKKUR             ALATHUR"
"144    THANJAVUR          THANJAVUR        MADUKKUR             MADUKKUR"
"145    THANJAVUR          THANJAVUR        PATTUKOTTAI          NATTUSALAI"
"146    THANJAVUR          THANJAVUR        PATTUKOTTAI          THAMARANKOTTAI"
"147    THANJAVUR          THANJAVUR        PATTUKOTTAI          RAJAMADAM"
"148    THANJAVUR          THANJAVUR        PATTUKOTTAI          ENATHI"
"149    THANJAVUR          THANJAVUR        PATTUKOTTAI          NAMBIVAYAL"
"150    THANJAVUR          THANJAVUR        PATTUKOTTAI          KARAMBAYAM"
"151    THANJAVUR          THANJAVUR        SETHUBAVACHATRAM     ALAGIYANAYAGIPURAM"
"152    THANJAVUR          THANJAVUR        SETHUBAVACHATRAM     PERUMAGALUR"
"153    THANJAVUR          THANJAVUR        SETHUBAVACHATRAM     KURUVIKKARAMBAI"
"154    THANJAVUR          THANJAVUR        SETHUBAVACHATRAM     UMATHANADU"
"155    THANJAVUR          THANJAVUR        PERAVURANI           KURICHI"
"156    THANJAVUR          THANJAVUR        PERAVURANI           KALAGAM"
"157    THANJAVUR          THANJAVUR        PERAVURANI           SIRUVAVIDUTHI"
"158    THANJAVUR          THANJAVUR        THIRUVONAM           SILLATHUR"
"159    THANJAVUR          THANJAVUR        THIRUVONAM           ADHAMBAI"
"160    THANJAVUR          THANJAVUR        THIRUVONAM           VENGARAI"
"161    THANJAVUR          THANJAVUR        THIRUVONAM           THIRUVONAM"
"162    THANJAVUR          THANJAVUR        BUDALORE             PALAYAPATTI"
"163    THANJAVUR          THANJAVUR        BUDALORE             KOVILADI"
"164    THANJAVUR          THANJAVUR        BUDALORE             BUDALUR"
"165    THANJAVUR          THANJAVUR        THANJAVUR            NAGATHI"
"166    THANJAVUR          THANJAVUR        THANJAVUR            KASAVALANADUPUDUR"
"167    THANJAVUR          THANJAVUR        THANJAVUR            MARUNGULAM"
"168    THANJAVUR          THANJAVUR        THANJAVUR            VALLAM"
"169    THANJAVUR          THANJAVUR        THANJAVUR            ALAKKUDI"
"170    THANJAVUR          THANJAVUR        THANJAVUR            THENNANGUDI"
"171    COIMBATORE         COIMBATORE       KARAMADAI            KARAMADAI"
"172    COIMBATORE         COIMBATORE       KARAMADAI            SIRUMUGAI"
"173    COIMBATORE         COIMBATORE       KARAMADAI            C.KALLIPATTY"
"174    COIMBATORE         COIMBATORE       KARAMADAI            IRUMBORAI"
"                              NAME OF THE"
"NAME OF THE                                               NAME OF THE PRIMARY"
"S. NO                         HEALTH UNIT    NAME OF THE BLOCK"
"REVENUE DISTRICT                                              HEALTH CENTRE"
"DISTRICT"
"175    COIMBATORE         COIMBATORE       KARAMADAI              SEELIYUR"
"176    COIMBATORE         COIMBATORE       S.S.KULAM              S.S.KULAM"
"177    COIMBATORE         COIMBATORE       S.S.KULAM              VELLAKINAR"
"178    COIMBATORE         COIMBATORE       PERUR                  S.K.MUTHUR"
"179    COIMBATORE         COIMBATORE       PERUR                  PODANUR"
"180    COIMBATORE         COIMBATORE       MADUKKARAI             ARISIPALAYAM"
"181    COIMBATORE         COIMBATORE       MADUKKARAI             T.M.PALAYAM"
"182    COIMBATORE         COIMBATORE       MADUKKARAI             MADUKKARAI"
"183    COIMBATORE         COIMBATORE       MADUKKARAI             MYLERIPALAYAM"
"184    COIMBATORE         COIMBATORE       KINATHUKADAVU          NALLATTIPALAYAM"
"185    COIMBATORE         COIMBATORE       KINATHUKADAVU          SOKKANUR"
"186    COIMBATORE         COIMBATORE       KINATHUKADAVU          KINATHUKADAVU"
"187    COIMBATORE         COIMBATORE       POLLACHI NORTH         NEGAMAM"
"188    COIMBATORE         COIMBATORE       POLLACHI NORTH         RAMAPATNAM"
"189    COIMBATORE         COIMBATORE       POLLACHI NORTH         Z.PURAVIPALAYAM"
"190    COIMBATORE         COIMBATORE       POLLACHI SOUTH         KOLARPATTY"
"191    COIMBATORE         COIMBATORE       POLLACHI SOUTH         KANJAMPATTY"
"192    COIMBATORE         COIMBATORE       POLLACHI SOUTH         Z.UTHUKULI"
"193    COIMBATORE         COIMBATORE       ANAMALAI               PERIAPODU"
"194    COIMBATORE         COIMBATORE       ANAMALAI               SETHUMADAI"
"195    COIMBATORE         COIMBATORE       ANAMALAI               ANAMALAI"
"196    COIMBATORE         COIMBATORE       ANAMALAI               ALIARNAGAR"
"197    COIMBATORE         COIMBATORE       ANAMALAI               TOPSLIP"
"198    COIMBATORE         COIMBATORE       ANAMALAI               PETHANAICKANUR"
"199    COIMBATORE         COIMBATORE       VALPARAI               VALPARAI"
"200    COIMBATORE         COIMBATORE       VALPARAI               SHOLAIARNAGAR"
"201    COIMBATORE         COIMBATORE       VALPARAI               MUDISNAGAR"
"202    COIMBATORE         COIMBATORE       THONDAMUTHUR           POOLUVAPATTY"
"203    COIMBATORE         COIMBATORE       THONDAMUTHUR           KALIVEERAMPALAYAM"
"204    COIMBATORE         COIMBATORE       THONDAMUTHUR           KARADIMADAI"
"205    COIMBATORE         COIMBATORE       PERIYANAICKENPALAYAM   MATHAMPALAYAM"
"206    COIMBATORE         COIMBATORE       PERIYANAICKENPALAYAM   THUDIYALUR"
"207    COIMBATORE         COIMBATORE       PERIYANAICKENPALAYAM   DHALIYUR"
"208    COIMBATORE         COIMBATORE       PERIYANAICKENPALAYAM   24.VEERAPANDI"
"209    COIMBATORE         TIRUPPUR         ANNUR                  POGALUR"
"210    COIMBATORE         TIRUPPUR         ANNUR                  S.M.C.PALAYAM"
"211    COIMBATORE         TIRUPPUR         AVANASHI               CHEYUR"
"212    COIMBATORE         TIRUPPUR         AVANASHI               THULUKKAMUTHUR"
"213    COIMBATORE         TIRUPPUR         AVANASHI               NAMBIYAMPALAYAM"
"214    COIMBATORE         TIRUPPUR         THIRUPPUR              PERUMANALLUR"
"215    COIMBATORE         TIRUPPUR         THIRUPPUR              MANGALAM"
"216    COIMBATORE         TIRUPPUR         THIRUPPUR              15.VELAMPALAYAM"
"217    COIMBATORE         TIRUPPUR         PONGALUR               E.VADUGAPALAYAM"
"218    COIMBATORE         TIRUPPUR         PONGALUR               PONGALUR"
"                              NAME OF THE"
"NAME OF THE                                             NAME OF THE PRIMARY"
"S. NO                         HEALTH UNIT    NAME OF THE BLOCK"
"REVENUE DISTRICT                                            HEALTH CENTRE"
"DISTRICT"
"219    COIMBATORE         TIRUPPUR         MADATHUKULAM         KANIYUR"
"220    COIMBATORE         TIRUPPUR         MADATHUKULAM         MADATHUKULAM"
"221    COIMBATORE         TIRUPPUR         MADATHUKULAM         KOMARALINGAM"
"222    COIMBATORE         TIRUPPUR         MADATHUKULAM         PAPPANKULAM"
"223    COIMBATORE         TIRUPPUR         MADATHUKULAM         THUNGAVI"
"224    COIMBATORE         TIRUPPUR         UDUMALPET            ERISINAMPATTY"
"225    COIMBATORE         TIRUPPUR         UDUMALPET            PERIAVALAVADI"
"226    COIMBATORE         TIRUPPUR         UDUMALPET            AMARAVATHINAGAR"
"227    COIMBATORE         TIRUPPUR         UDUMALPET            CHELLAPPAMPALAYAM"
"228    COIMBATORE         TIRUPPUR         GUDIMANGALAM         GUDIMANGALAM"
"229    COIMBATORE         TIRUPPUR         GUDIMANGALAM         PEDAPPAMPATTY"
"230    COIMBATORE         TIRUPPUR         GUDIMANGALAM         RAMACHANDRAPURAM"
"231    COIMBATORE         TIRUPPUR         GUDIMANGALAM         POOLAVADI"
"232    COIMBATORE         TIRUPPUR         SULTANPET            CHANDRAPURAM"
"233    COIMBATORE         TIRUPPUR         SULTANPET            C.VADAMBACHERY"
"234    COIMBATORE         TIRUPPUR         PALLADAM             SEMMIPALAYAM"
"235    COIMBATORE         TIRUPPUR         PALLADAM             BOOMALUR"
"236    COIMBATORE         TIRUPPUR         SULUR                SOMANUR"
"237    COIMBATORE         TIRUPPUR         SULUR                IRUGUR"
"238    COIMBATORE         TIRUPPUR         SULUR                VAHARAYAMPALAYAM"
"239    ERODE              ERODE            ERODE                CHITTHODE"
"240    ERODE              ERODE            ERODE                NASIYANUR"
"241    ERODE              ERODE            ERODE                THINDAL"
"242    ERODE              ERODE            GOBICHETTIPALAYAM    SIRUVALUR"
"243    ERODE              ERODE            GOBICHETTIPALAYAM    KUGALUR"
"244    ERODE              ERODE            GOBICHETTIPALAYAM    AYALUR"
"245    ERODE              ERODE            GOBICHETTIPALAYAM    KOTTUPLULLAM PALAYAM"
"246    ERODE              ERODE            SATHYAMANGALAM       UKKARAM"
"247    ERODE              ERODE            SATHYAMANGALAM       RAJAN NAGAR"
"248    ERODE              ERODE            SATHYAMANGALAM       GUDIYALATHUR"
"249    ERODE              ERODE            SATHYAMANGALAM       KEMBANAICKEN PALAYAM"
"250    ERODE              ERODE            NAMBIYUR             NAMBIYUR"
"251    ERODE              ERODE            NAMBIYUR             E.CHETTIPALAYAM"
"252    ERODE              ERODE            NAMBIYUR             GETTISEVIYUR"
"253    ERODE              ERODE            T.N.PALAYAM          T.N.PALAYAM"
"254    ERODE              ERODE            T.N.PALAYAM          KASIPALAYAM"
"255    ERODE              ERODE            T.N.PALAYAM          KALLIPATTI"
"256    ERODE              ERODE            T.N.PALAYAM          D.G.PUDUR"
"257    ERODE              ERODE            THALAVADY            TALAVADY"
"258    ERODE              ERODE            THALAVADY            PAINAPURAM"
"259    ERODE              ERODE            THALAVADY            GEERMALAM"
"260    ERODE              ERODE            ANTHIYUR             ATHANI"
"261    ERODE              ERODE            ANTHIYUR             CHINNATHAMBIPALAYAM"
"262    ERODE              ERODE            ANTHIYUR             BURGUR"
"                              NAME OF THE"
"NAME OF THE                                             NAME OF THE PRIMARY"
